num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
1047,1368,2415,0.7653508771929824
1154,1461,2615,0.7898699520876112
957,1394,2351,0.6865136298421808
1136,1614,2750,0.7038413878562577
1168,1745,2913,0.6693409742120344
1102,1385,2487,0.7956678700361011
1082,1553,2635,0.6967160334835801
1148,1671,2819,0.687013764213046
1102,1692,2794,0.6513002364066194
1111,1623,2734,0.6845348120764018
1055,1616,2671,0.6528465346534653
1046,1512,2558,0.6917989417989417
1012,1575,2587,0.6425396825396825
1132,1697,2829,0.6670595167943429
1076,1606,2682,0.6699875466998755
1138,1546,2684,0.7360931435963778
1181,1724,2905,0.6850348027842227
1255,1923,3178,0.6526261050442018
1151,1654,2805,0.6958887545344619
1048,1634,2682,0.6413708690330477
1057,1674,2731,0.6314217443249701
1092,1599,2691,0.6829268292682927
1097,1509,2606,0.7269715043074884
1164,1643,2807,0.7084601339013998
1062,1464,2526,0.7254098360655737
1057,1536,2593,0.6881510416666666
1043,1560,2603,0.6685897435897435
1127,1650,2777,0.683030303030303
1144,1562,2706,0.7323943661971831
1089,1254,2343,0.868421052631579
1128,1588,2716,0.7103274559193955
1089,1724,2813,0.6316705336426914
1039,1621,2660,0.6409623689080814
942,1379,2321,0.6831036983321247
1001,1580,2581,0.6335443037974684
1364,1703,3067,0.8009395184967704
1103,1566,2669,0.7043422733077905
1075,1534,2609,0.7007822685788787
1024,1448,2472,0.7071823204419889
1190,1442,2632,0.8252427184466019
1001,1432,2433,0.6990223463687151
1089,1441,2530,0.7557251908396947
1102,1566,2668,0.7037037037037037
1185,1461,2646,0.811088295687885
1116,1576,2692,0.7081218274111675
1196,1596,2792,0.7493734335839599
1010,1470,2480,0.6870748299319728
1084,1389,2473,0.7804175665946724
1075,1505,2580,0.7142857142857143
1168,1748,2916,0.6681922196796338
1134,1606,2740,0.7061021170610212
945,1410,2355,0.6702127659574468
1058,1666,2724,0.6350540216086434
1077,1680,2757,0.6410714285714286
1095,1627,2722,0.6730178242163491
909,1264,2173,0.7191455696202531
1076,1479,2555,0.7275185936443543
1032,1676,2708,0.6157517899761337
1085,1577,2662,0.6880152187698161
1101,1642,2743,0.6705237515225335
1094,1414,2508,0.7736916548797736
1138,1586,2724,0.7175283732660782
969,1442,2411,0.6719833564493759
1017,1591,2608,0.6392206159648021
938,1276,2214,0.7351097178683386
1085,1658,2743,0.6544028950542823
969,1408,2377,0.6882102272727273
1015,1563,2578,0.6493921944977608
1040,1674,2714,0.6212664277180406
1126,1575,2701,0.714920634920635
1150,1547,2697,0.7433742727860375
1059,1587,2646,0.667296786389414
1066,1631,2697,0.6535867565910485
1112,1580,2692,0.7037974683544304
1256,1857,3113,0.6763597199784599
1126,1547,2673,0.7278603749191984
998,1425,2423,0.7003508771929825
994,1544,2538,0.6437823834196891
1101,1476,2577,0.7459349593495935
984,1401,2385,0.702355460385439
977,1530,2507,0.6385620915032679
1072,1559,2631,0.6876202694034638
1115,1611,2726,0.6921166977032899
1023,1653,2676,0.6188747731397459
1090,1576,2666,0.6916243654822335
1115,1626,2741,0.6857318573185732
1145,1674,2819,0.6839904420549582
729,1237,1966,0.5893290218270008
987,1365,2352,0.7230769230769231
1282,1719,3001,0.745782431646306
1049,1617,2666,0.6487322201607916
1068,1480,2548,0.7216216216216216
1026,1603,2629,0.6400499064254522
971,1604,2575,0.6053615960099751
969,1538,2507,0.6300390117035111
1095,1425,2520,0.7684210526315789
1097,1671,2768,0.656493117893477
1035,1507,2542,0.6867949568679496
1105,1620,2725,0.6820987654320988
1059,1574,2633,0.6728081321473952
1065,1556,2621,0.6844473007712082
1037,1565,2602,0.6626198083067093
1077,1614,2691,0.6672862453531598
1099,1499,2598,0.733155436957972
936,1484,2420,0.6307277628032345
1017,1607,2624,0.6328562538892346
1057,1686,2743,0.6269276393831554
1044,1677,2721,0.6225402504472272
1074,1422,2496,0.7552742616033755
925,1487,2412,0.6220578345662408
957,1404,2361,0.6816239316239316
945,1478,2423,0.6393775372124493
1052,1780,2832,0.5910112359550562
1024,1590,2614,0.6440251572327044
1237,1864,3101,0.6636266094420601
1064,1534,2598,0.6936114732724902
977,1467,2444,0.6659850034083163
1129,1782,2911,0.6335578002244668
1110,1693,2803,0.6556408741878322
1111,1599,2710,0.6948092557848655
1039,1683,2722,0.6173499702911468
1006,1446,2452,0.6957123098201936
894,1277,2171,0.7000783085356304
1073,1425,2498,0.7529824561403509
941,1614,2555,0.5830235439900867
918,1417,2335,0.647847565278758
1023,1567,2590,0.6528398213146139
986,1626,2612,0.6063960639606396
1057,1682,2739,0.6284185493460166
1025,1754,2779,0.5843785632839225
1083,1541,2624,0.7027903958468527
1101,1645,2746,0.6693009118541033
1098,1608,2706,0.6828358208955224
1135,1654,2789,0.6862152357920194
1173,1695,2868,0.6920353982300885
1084,1611,2695,0.6728739913097455
969,1555,2524,0.6231511254019293
887,1428,2315,0.6211484593837535
1074,1413,2487,0.7600849256900213
1222,1663,2885,0.7348165965123271
1146,1699,2845,0.6745144202472042
1006,1534,2540,0.6558018252933507
1067,1425,2492,0.7487719298245614
1093,1690,2783,0.6467455621301775
924,1346,2270,0.6864784546805349
954,1416,2370,0.673728813559322
952,1465,2417,0.6498293515358362
983,1511,2494,0.6505625413633356
1109,1252,2361,0.8857827476038339
1015,1558,2573,0.6514762516046213
1091,1428,2519,0.7640056022408963
897,1499,2396,0.5983989326217478
1084,1712,2796,0.633177570093458
1106,1618,2724,0.6835599505562423
